mmsi,imo
273414670,9255268
310884056,9189184
311019700,9550137
311377046,9692533
319310000,9397987
319488000,9102112
351758976,9727340
352907000,9345623
354422000,9380752
355211128,7616262
355276000,9524803
356904000,9129873
357570000,9833436
372033000,8214645
372041000,9347140
372477000,9421984
372849000,9412567
373531000,9604770
373725000,9514339
403079000,9359868
416427000,9299329
431705000,9782510
432794000,9558189
475413600,9400291
477107300,9343352
477191800,9799147
477193700,9703538
477259733,9732321
477733800,9387932
477749200,9576894
477795300,9466245
477826900,9438470
477847900,9594535
477883900,9314258
477897700,9371062
477948800,9704647
477986300,9448554
503177991,9829643
525005396,8682361
533130592,9696175
538004913,9641223
538004972,9048122
538005111,9659660
538005607,9675456
538005983,9735634
538006613,9733806
538006676,9743239
538007392,9346160
538542176,9587881
542142110,9214824
548954000,9771482
563019398,8200278
563022630,9634452
563028006,8705278
563037470,9810410
563055596,9434101
563061800,9826471
563076100,9871763
563180620,9250725
563250680,9128879
563382000,9294848
563459000,9572977
563895000,9507776
563980992,9697430
564445672,9264439
564709696,9365817
565265616,9554286
565331996,9427055
565765968,9382528
566051994,9352664
566171984,9319703
566185018,9456484
566219752,9116400
566542116,9809057
566560532,9275476
570299808,9441881
636012314,9288681
636015676,9286956
636017475,9763916
636017713,9448035
636017927,9254666
636018893,9322279
636019234,9786839
636091849,9150195
645482000,9260677
667867800,9262704
775264276,9352066
1136763,9293777
26551632,9683609
30415852,9830202
35659700,8706014
219212018,9553646
229553000,9636785
229649000,9618599
229758000,9733258
235102349,9253870
240190000,9250543
241661000,9289491
255805849,9690080
255805855,9720483
255805893,9794484
257672000,9191321
266283000,9377509
292074134,9692533
308248000,9337987
308932000,9239484
311000246,9681687
312761000,9254757
323212368,9462031
351060000,9232541
351087000,9162966
351472000,9256999
352815000,9361471
353162000,9399014
353300000,9144457
353332000,9363948
354269000,9278727
355705000,9406166
356143000,9477713
356893000,9066095
357080043,9724702
370488000,9589619
370811000,9470739
371691000,9397846
372588000,9823728
372735000,9355123
373529000,9599755
374808000,9190078
416495000,9703021
440062000,9114177
440183000,9246932
474190312,8304012
477020700,9290127
477045500,9740110
477194700,9756901
477225700,9430442
477347600,9288502
477518500,9698599
477541700,9389760
477728240,9664536
477770900,9398280
517594752,9425514
525012082,9397573
525100268,9254501
525100501,7908160
525100904,9519901
533000095,9078218
533130662,9105346
537236604,9524657
538002203,9301184
538004033,9594755
538004094,9471226
538005001,9617662
538005763,9256638
538006000,9713911
538007317,9588536
538007476,9769295
538008159,9794006
543922880,9675145
548827000,9439436
562518216,9667784
562657798,9358591
562671540,9435791
562710640,9405588
563002112,9704984
563002200,9757175
563019406,9301081
563061400,9771585
563066664,9338632
563093500,9322877
563141997,9683001
563168704,9357781
563352008,9172727
563499000,9100073
563566200,9158587
563591000,9597276
564026992,9567685
564071000,9168843
564618000,9681871
564938000,9387437
565242992,9308144
565506000,9752187
565688000,9390240
565709016,9280639
565823684,9350654
565951029,9176981
566133995,9724702
566135024,9778741
566178433,9449467
566487292,1010301
566557000,9603465
566716996,9643790
567206606,9004580
567361948,9248423
567552000,9461714
569295388,9290127
569632304,9382530
572265220,9562130
574001210,9517135
579804996,9735517
620989739,9724702
636011659,9234599
636013812,9386304
636014299,9490650
636016759,9741267
636017038,9429314
636018079,9304459
675507501,9683001
710020930,9453834
967845720,9256016
3670272,7351977
5250006,9389722
5578496,9461659
26136288,9215218
106648511,9344801
205748000,9435052
209853000,9189146
210138008,9782467
210497000,9676204
212684000,9323053
219302000,9662019
229336000,9529499
229370000,9554755
